fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
9.1,0.3,0.46,9,0.114,3,9,0.999,3.18,0.6,10.9,6,red
6.7,0.2,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,7,white
5.7,0.3,0.35,1.2,0.052,39,141,0.9911,3.44,0.69,11.3,6,white
6.6,0.5,0.26,11.3,0.029,32,110,0.993,3.27,0.78,12.9,8,white
6.3,0.2,0.24,1.7,0.052,36,135,0.9937,3.8,0.66,10.8,6,white
6.6,0.4,0.32,1.4,0.05,10,68,0.992,3.08,0.39,11.3,6,white
6.8,0.3,0.43,7.6,0.03,30,110,0.9916,3.08,0.59,12.5,8,white
6.1,0.4,0.33,1.1,0.05,24,169,0.9927,3.15,0.78,9.5,6,white
7.4,0.2,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,white
5.8,0.2,0.3,1.1,0.047,36,131,0.992,3.26,0.45,10.4,5,white
6.4,0.1,0.35,4.9,0.048,31,103,0.9947,3.43,0.79,9.7,6,white
5.6,0.2,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,6,white
7.4,0.3,0.26,15.6,0.049,67,210,0.9991,3.06,0.68,9.5,5,white
6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13,7,white
7.1,0.9,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,5,white
7.4,0.6,0.19,1.8,0.082,15,34,0.9966,3.49,0.68,10.5,5,red
7,0.2,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,6,white
7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7,white
8.5,0.7,0.62,2.2,0.112,13,96,0.9971,3.15,0.54,8.9,5,red
13.3,0.3,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,7,red
5.8,0.1,0.15,6.1,0.042,27,123,0.9936,3.06,0.6,9.9,6,white
8.9,0.6,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5,5,red
7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,6,red
6.7,0.6,0.19,1.9,0.08,7,63,0.9969,3.53,0.58,9.2,6,red
7.4,0.6,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,6,red
8.9,0.6,0.49,2.1,0.269,23,110,0.9973,3.12,1.02,9.4,5,red
7,0.4,0.41,5.4,0.073,28,127,0.9973,3.43,0.71,10.4,6,red
6.4,0.2,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,7,white
7.4,0.3,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6,white
5.5,0.1,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5,white
7.2,0.2,0.28,1.9,0.032,30,92,0.9914,3.1,0.39,10.9,6,white
7.2,0.4,0.54,1.4,0.157,34,132,0.9945,3.11,0.53,9,6,white
7.9,0.7,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,5,red
10.5,0.2,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7,red
6.8,0.6,0.04,1.3,0.058,25,133,0.9927,3.17,0.39,10.2,4,white
6.6,0.6,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,5,white
7.3,0.7,0,2.2,0.08,18,28,0.9977,3.41,0.6,9.4,5,red
7.3,0.6,0.01,1.8,0.093,9,15,0.9951,3.35,0.58,11,7,red
7.4,0.3,0.32,1.7,0.03,23,128,0.9929,3.17,0.66,10.9,5,white
6.6,0.2,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,6,white
5.8,0.2,0.29,0.9,0.034,34,89,0.9894,3.14,0.36,11.1,7,white
8.1,0.2,0.38,4.3,0.044,49,172,0.996,3.37,0.74,10.8,6,white
6.1,0.3,0.33,10.7,0.036,27,98,0.9952,3.34,0.52,10.2,6,white
4.9,0.3,0.14,1.3,0.036,69,168,0.9921,3.47,0.46,10.5,5,white
6.4,0.3,0.27,5,0.058,27,151,0.992,3.22,0.49,12.2,6,white
5.8,0.3,0.38,4.8,0.032,23,96,0.9911,3.43,0.41,12,7,white
6.6,0.3,0.24,7.2,0.038,28,137,0.9952,3.35,0.6,10.4,6,white
6,0.3,0.26,5.1,0.051,16,119,0.9942,3.15,0.41,9.2,5,white
